RelativeTime,PacketsSent,PacketsReceived,BytesSent,BytesReceived,IPSrc0,IPDst0,Protocol0,PacketsSent0,PacketsReceived0,BytesSent0,BytesReceived0,IPSrc1,IPDst1,Protocol1,PacketsSent1,PacketsReceived1,BytesSent1,BytesReceived1,IPSrc2,IPDst2,Protocol2,PacketsSent2,PacketsReceived2,BytesSent2,BytesReceived2,IPSrc3,IPDst3,Protocol3,PacketsSent3,PacketsReceived3,BytesSent3,BytesReceived3,IPSrc4,IPDst4,Protocol4,PacketsSent4,PacketsReceived4,BytesSent4,BytesReceived4,IPSrc5,IPDst5,Protocol5,PacketsSent5,PacketsReceived5,BytesSent5,BytesReceived5,IPSrc6,IPDst6,Protocol6,PacketsSent6,PacketsReceived6,BytesSent6,BytesReceived6,IPSrc7,IPDst7,Protocol7,PacketsSent7,PacketsReceived7,BytesSent7,BytesReceived7,IPSrc8,IPDst8,Protocol8,PacketsSent8,PacketsReceived8,BytesSent8,BytesReceived8,IPSrc9,IPDst9,Protocol9,PacketsSent9,PacketsReceived9,BytesSent9,BytesReceived9,IPSrc10,IPDst10,Protocol10,PacketsSent10,PacketsReceived10,BytesSent10,BytesReceived10,IPSrc11,IPDst11,Protocol11,PacketsSent11,PacketsReceived11,BytesSent11,BytesReceived11,IPSrc12,IPDst12,Protocol12,PacketsSent12,PacketsReceived12,BytesSent12,BytesReceived12,IPSrc13,IPDst13,Protocol13,PacketsSent13,PacketsReceived13,BytesSent13,BytesReceived13,IPSrc14,IPDst14,Protocol14,PacketsSent14,PacketsReceived14,BytesSent14,BytesReceived14,IPSrc15,IPDst15,Protocol15,PacketsSent15,PacketsReceived15,BytesSent15,BytesReceived15,IPSrc16,IPDst16,Protocol16,PacketsSent16,PacketsReceived16,BytesSent16,BytesReceived16,IPSrc17,IPDst17,Protocol17,PacketsSent17,PacketsReceived17,BytesSent17,BytesReceived17,IPSrc18,IPDst18,Protocol18,PacketsSent18,PacketsReceived18,BytesSent18,BytesReceived18,IPSrc19,IPDst19,Protocol19,PacketsSent19,PacketsReceived19,BytesSent19,BytesReceived19,IPSrc20,IPDst20,Protocol20,PacketsSent20,PacketsReceived20,BytesSent20,BytesReceived20,IPSrc21,IPDst21,Protocol21,PacketsSent21,PacketsReceived21,BytesSent21,BytesReceived21,IPSrc22,IPDst22,Protocol22,PacketsSent22,PacketsReceived22,BytesSent22,BytesReceived22,IPSrc23,IPDst23,Protocol23,PacketsSent23,PacketsReceived23,BytesSent23,BytesReceived23,IPSrc24,IPDst24,Protocol24,PacketsSent24,PacketsReceived24,BytesSent24,BytesReceived24,IPSrc25,IPDst25,Protocol25,PacketsSent25,PacketsReceived25,BytesSent25,BytesReceived25,Buffering,Paused,Playing,CollectData,EpochTime,StartTime,PlaybackProgress,Length,UnlabelledQuality,q144p,q240p,q360p,q480p,q720p,q1080p,q1440p,q2160p,BufferHealth,BufferProgress,BufferValid
0.0,0,1,0,66, 192.168.0.110,1.186.191.142,0,0,0,0,0, 192.168.0.110,216.58.196.67,0,0,0,0,0, 192.168.0.110,216.58.196.65,0,0,0,0,0, 192.168.0.110,172.217.166.46,0,0,0,0,0, 192.168.0.110,216.58.199.182,0,0,0,0,0, 192.168.0.110,172.217.166.86,0,0,0,0,0, 192.168.0.110,216.58.196.66,0,0,0,0,0, 192.168.0.110,34.232.224.128,0,0,0,0,0, 192.168.0.110,216.58.196.78,0,0,0,0,0, 192.168.0.110,162.125.18.133,0,0,0,0,0, 192.168.0.110,216.58.196.70,0,0,0,0,0, 192.168.0.110,216.58.196.77,0,0,0,0,0, 192.168.0.110,216.58.196.68,0,0,0,0,0, 192.168.0.110,157.240.13.14,0,0,0,0,0, 192.168.0.110,216.58.196.74,0,0,0,0,0, 192.168.0.110,216.58.203.206,0,0,0,0,0, 192.168.0.110,52.222.128.201,0,0,0,0,0, 192.168.0.110,172.217.166.42,0,0,0,0,0, 192.168.0.110,74.125.130.188,TCP,0,1,0,66, 192.168.0.110,1.186.190.209,0,0,0,0,0, 192.168.0.110,162.125.34.137,0,0,0,0,0, 192.168.0.110,172.217.166.66,0,0,0,0,0, 192.168.0.110,255.255.255.255,0,0,0,0,0, 192.168.0.110,54.231.236.30,0,0,0,0,0, 192.168.0.110,13.228.67.66,0,0,0,0,0, 192.168.0.110,0.0.0.0,0,0,0,0,0,0,0,0,0,0,1526097085381,0.0,630.861,0,0,0,0,0,0,0,0,0,0.0,0.0,-1
0.1,2,3,132,3722, 192.168.0.110,1.186.191.142,0,0,0,0,0, 192.168.0.110,216.58.196.67,0,0,0,0,0, 192.168.0.110,216.58.196.65,0,0,0,0,0, 192.168.0.110,172.217.166.46,0,0,0,0,0, 192.168.0.110,216.58.199.182,0,0,0,0,0, 192.168.0.110,172.217.166.86,0,0,0,0,0, 192.168.0.110,216.58.196.66,0,0,0,0,0, 192.168.0.110,34.232.224.128,0,0,0,0,0, 192.168.0.110,216.58.196.78,0,0,0,0,0, 192.168.0.110,162.125.18.133,0,0,0,0,0, 192.168.0.110,216.58.196.70,0,0,0,0,0, 192.168.0.110,216.58.196.77,0,0,0,0,0, 192.168.0.110,216.58.196.68,0,0,0,0,0, 192.168.0.110,157.240.13.14,0,0,0,0,0, 192.168.0.110,216.58.196.74,0,0,0,0,0, 192.168.0.110,216.58.203.206,0,0,0,0,0, 192.168.0.110,52.222.128.201,0,0,0,0,0, 192.168.0.110,172.217.166.42,0,0,0,0,0, 192.168.0.110,74.125.130.188,TCP,2,3,132,3722, 192.168.0.110,1.186.190.209,0,0,0,0,0, 192.168.0.110,162.125.34.137,0,0,0,0,0, 192.168.0.110,172.217.166.66,0,0,0,0,0, 192.168.0.110,255.255.255.255,0,0,0,0,0, 192.168.0.110,54.231.236.30,0,0,0,0,0, 192.168.0.110,13.228.67.66,0,0,0,0,0, 192.168.0.110,0.0.0.0,0,0,0,0,0,0,0,0,0,0,1526097085381,0.0,630.861,0,0,0,0,0,0,0,0,0,0.0,0.0,-1
0.2,12,11,2082,2217, 192.168.0.110,1.186.191.142,0,0,0,0,0, 192.168.0.110,216.58.196.67,TCP,2,2,390,453, 192.168.0.110,216.58.196.65,0,0,0,0,0, 192.168.0.110,172.217.166.46,TCP,3,3,456,588, 192.168.0.110,216.58.199.182,0,0,0,0,0, 192.168.0.110,172.217.166.86,0,0,0,0,0, 192.168.0.110,216.58.196.66,0,0,0,0,0, 192.168.0.110,34.232.224.128,0,0,0,0,0, 192.168.0.110,216.58.196.78,TCP,3,3,456,588, 192.168.0.110,162.125.18.133,0,0,0,0,0, 192.168.0.110,216.58.196.70,0,0,0,0,0, 192.168.0.110,216.58.196.77,0,0,0,0,0, 192.168.0.110,216.58.196.68,0,0,0,0,0, 192.168.0.110,157.240.13.14,0,0,0,0,0, 192.168.0.110,216.58.196.74,TCP,3,3,456,588, 192.168.0.110,216.58.203.206,0,0,0,0,0, 192.168.0.110,52.222.128.201,0,0,0,0,0, 192.168.0.110,172.217.166.42,0,0,0,0,0, 192.168.0.110,74.125.130.188,TCP,1,0,324,0, 192.168.0.110,1.186.190.209,0,0,0,0,0, 192.168.0.110,162.125.34.137,0,0,0,0,0, 192.168.0.110,172.217.166.66,0,0,0,0,0, 192.168.0.110,255.255.255.255,0,0,0,0,0, 192.168.0.110,54.231.236.30,0,0,0,0,0, 192.168.0.110,13.228.67.66,0,0,0,0,0, 192.168.0.110,0.0.0.0,0,0,0,0,0,0,0,0,0,0,1526097085381,0.0,630.861,0,0,0,0,0,0,0,0,0,0.0,0.0,-1
0.3,7,5,1240,1005, 192.168.0.110,1.186.191.142,0,0,0,0,0, 192.168.0.110,216.58.196.67,0,0,0,0,0, 192.168.0.110,216.58.196.65,0,0,0,0,0, 192.168.0.110,172.217.166.46,0,0,0,0,0, 192.168.0.110,216.58.199.182,0,0,0,0,0, 192.168.0.110,172.217.166.86,0,0,0,0,0, 192.168.0.110,216.58.196.66,0,0,0,0,0, 192.168.0.110,34.232.224.128,0,0,0,0,0, 192.168.0.110,216.58.196.78,0,0,0,0,0, 192.168.0.110,162.125.18.133,0,0,0,0,0, 192.168.0.110,216.58.196.70,0,0,0,0,0, 192.168.0.110,216.58.196.77,0,0,0,0,0, 192.168.0.110,216.58.196.68,0,0,0,0,0, 192.168.0.110,157.240.13.14,0,0,0,0,0, 192.168.0.110,216.58.196.74,0,0,0,0,0, 192.168.0.110,216.58.203.206,0,0,0,0,0, 192.168.0.110,52.222.128.201,SSL,3,1,727,74, 192.168.0.110,172.217.166.42,QUIC,2,3,160,544, 192.168.0.110,74.125.130.188,TCP,2,1,353,387, 192.168.0.110,1.186.190.209,0,0,0,0,0, 192.168.0.110,162.125.34.137,0,0,0,0,0, 192.168.0.110,172.217.166.66,0,0,0,0,0, 192.168.0.110,255.255.255.255,0,0,0,0,0, 192.168.0.110,54.231.236.30,0,0,0,0,0, 192.168.0.110,13.228.67.66,0,0,0,0,0, 192.168.0.110,0.0.0.0,0,0,0,0,0,0,0,0,0,0,1526097085381,0.0,630.861,0,0,0,0,0,0,0,0,0,0.0,0.0,-1
0.4,31,28,10317,14354, 192.168.0.110,1.186.191.142,0,0,0,0,0, 192.168.0.110,216.58.196.67,QUIC,2,3,1475,2861, 192.168.0.110,216.58.196.65,0,0,0,0,0, 192.168.0.110,172.217.166.46,QUIC,8,6,6777,3114, 192.168.0.110,216.58.199.182,0,0,0,0,0, 192.168.0.110,172.217.166.86,0,0,0,0,0, 192.168.0.110,216.58.196.66,0,0,0,0,0, 192.168.0.110,34.232.224.128,0,0,0,0,0, 192.168.0.110,216.58.196.78,0,0,0,0,0, 192.168.0.110,162.125.18.133,0,0,0,0,0, 192.168.0.110,216.58.196.70,0,0,0,0,0, 192.168.0.110,216.58.196.77,0,0,0,0,0, 192.168.0.110,216.58.196.68,0,0,0,0,0, 192.168.0.110,157.240.13.14,0,0,0,0,0, 192.168.0.110,216.58.196.74,TCP,5,5,376,1008, 192.168.0.110,216.58.203.206,0,0,0,0,0, 192.168.0.110,52.222.128.201,TCP,11,10,1197,6499, 192.168.0.110,172.217.166.42,0,0,0,0,0, 192.168.0.110,74.125.130.188,TCP,3,3,198,495, 192.168.0.110,1.186.190.209,0,0,0,0,0, 192.168.0.110,162.125.34.137,0,0,0,0,0, 192.168.0.110,172.217.166.66,0,0,0,0,0, 192.168.0.110,255.255.255.255,0,0,0,0,0, 192.168.0.110,54.231.236.30,0,0,0,0,0, 192.168.0.110,13.228.67.66,0,0,0,0,0, 192.168.0.110,0.0.0.0,0,2,1,294,377,0,0,0,0,0,1526097085381,0.0,630.861,0,0,0,0,0,0,0,0,0,0.0,0.0,-1
0.5,9,10,2030,4564, 192.168.0.110,1.186.191.142,0,0,0,0,0, 192.168.0.110,216.58.196.67,QUIC,3,3,1556,1545, 192.168.0.110,216.58.196.65,0,0,0,0,0, 192.168.0.110,172.217.166.46,QUIC,6,7,474,3019, 192.168.0.110,216.58.199.182,0,0,0,0,0, 192.168.0.110,172.217.166.86,0,0,0,0,0, 192.168.0.110,216.58.196.66,0,0,0,0,0, 192.168.0.110,34.232.224.128,0,0,0,0,0, 192.168.0.110,216.58.196.78,0,0,0,0,0, 192.168.0.110,162.125.18.133,0,0,0,0,0, 192.168.0.110,216.58.196.70,0,0,0,0,0, 192.168.0.110,216.58.196.77,0,0,0,0,0, 192.168.0.110,216.58.196.68,0,0,0,0,0, 192.168.0.110,157.240.13.14,0,0,0,0,0, 192.168.0.110,216.58.196.74,0,0,0,0,0, 192.168.0.110,216.58.203.206,0,0,0,0,0, 192.168.0.110,52.222.128.201,0,0,0,0,0, 192.168.0.110,172.217.166.42,0,0,0,0,0, 192.168.0.110,74.125.130.188,0,0,0,0,0, 192.168.0.110,1.186.190.209,0,0,0,0,0, 192.168.0.110,162.125.34.137,0,0,0,0,0, 192.168.0.110,172.217.166.66,0,0,0,0,0, 192.168.0.110,255.255.255.255,0,0,0,0,0, 192.168.0.110,54.231.236.30,0,0,0,0,0, 192.168.0.110,13.228.67.66,0,0,0,0,0, 192.168.0.110,0.0.0.0,0,0,0,0,0,0,0,0,0,0,1526097085381,0.0,630.861,0,0,0,0,0,0,0,0,0,0.0,0.0,-1
0.6,18,16,15481,6313, 192.168.0.110,1.186.191.142,0,0,0,0,0, 192.168.0.110,216.58.196.67,QUIC,1,2,1392,149, 192.168.0.110,216.58.196.65,0,0,0,0,0, 192.168.0.110,172.217.166.46,QUIC,1,1,973,69, 192.168.0.110,216.58.199.182,0,0,0,0,0, 192.168.0.110,172.217.166.86,QUIC,2,1,2784,80, 192.168.0.110,216.58.196.66,QUIC,1,1,1392,77, 192.168.0.110,34.232.224.128,0,0,0,0,0, 192.168.0.110,216.58.196.78,QUIC,1,1,1392,77, 192.168.0.110,162.125.18.133,0,0,0,0,0, 192.168.0.110,216.58.196.70,QUIC,2,1,2784,80, 192.168.0.110,216.58.196.77,0,0,0,0,0, 192.168.0.110,216.58.196.68,QUIC,1,1,1392,77, 192.168.0.110,157.240.13.14,0,0,0,0,0, 192.168.0.110,216.58.196.74,0,0,0,0,0, 192.168.0.110,216.58.203.206,0,0,0,0,0, 192.168.0.110,52.222.128.201,0,0,0,0,0, 192.168.0.110,172.217.166.42,0,0,0,0,0, 192.168.0.110,74.125.130.188,0,0,0,0,0, 192.168.0.110,1.186.190.209,QUIC,5,4,3025,4249, 192.168.0.110,162.125.34.137,0,0,0,0,0, 192.168.0.110,172.217.166.66,0,0,0,0,0, 192.168.0.110,255.255.255.255,0,0,0,0,0, 192.168.0.110,54.231.236.30,0,0,0,0,0, 192.168.0.110,13.228.67.66,0,0,0,0,0, 192.168.0.110,0.0.0.0,0,4,4,347,1455,0,0,0,0,0,1526097085381,0.0,630.861,0,0,0,0,0,0,0,0,0,0.0,0.0,-1
0.7,21,32,12406,33680, 192.168.0.110,1.186.191.142,0,0,0,0,0, 192.168.0.110,216.58.196.67,QUIC,1,3,1392,2861, 192.168.0.110,216.58.196.65,0,0,0,0,0, 192.168.0.110,172.217.166.46,QUIC,7,14,566,16509, 192.168.0.110,216.58.199.182,0,0,0,0,0, 192.168.0.110,172.217.166.86,QUIC,3,3,2867,2867, 192.168.0.110,216.58.196.66,QUIC,2,3,1475,2864, 192.168.0.110,34.232.224.128,0,0,0,0,0, 192.168.0.110,216.58.196.78,QUIC,1,3,1392,2861, 192.168.0.110,162.125.18.133,0,0,0,0,0, 192.168.0.110,216.58.196.70,QUIC,3,2,2867,2784, 192.168.0.110,216.58.196.77,0,0,0,0,0, 192.168.0.110,216.58.196.68,QUIC,2,2,1475,2784, 192.168.0.110,157.240.13.14,0,0,0,0,0, 192.168.0.110,216.58.196.74,0,0,0,0,0, 192.168.0.110,216.58.203.206,0,0,0,0,0, 192.168.0.110,52.222.128.201,0,0,0,0,0, 192.168.0.110,172.217.166.42,QUIC,2,1,372,78, 192.168.0.110,74.125.130.188,0,0,0,0,0, 192.168.0.110,1.186.190.209,QUIC,0,1,0,72, 192.168.0.110,162.125.34.137,0,0,0,0,0, 192.168.0.110,172.217.166.66,0,0,0,0,0, 192.168.0.110,255.255.255.255,0,0,0,0,0, 192.168.0.110,54.231.236.30,0,0,0,0,0, 192.168.0.110,13.228.67.66,0,0,0,0,0, 192.168.0.110,0.0.0.0,0,0,0,0,0,0,0,0,0,0,1526097085381,0.0,630.861,0,0,0,0,0,0,0,0,0,0.0,0.0,-1
0.7999999999999999,3,0,4176,0, 192.168.0.110,1.186.191.142,0,0,0,0,0, 192.168.0.110,216.58.196.67,0,0,0,0,0, 192.168.0.110,216.58.196.65,0,0,0,0,0, 192.168.0.110,172.217.166.46,0,0,0,0,0, 192.168.0.110,216.58.199.182,0,0,0,0,0, 192.168.0.110,172.217.166.86,0,0,0,0,0, 192.168.0.110,216.58.196.66,0,0,0,0,0, 192.168.0.110,34.232.224.128,0,0,0,0,0, 192.168.0.110,216.58.196.78,0,0,0,0,0, 192.168.0.110,162.125.18.133,0,0,0,0,0, 192.168.0.110,216.58.196.70,QUIC,2,0,2784,0, 192.168.0.110,216.58.196.77,0,0,0,0,0, 192.168.0.110,216.58.196.68,QUIC,1,0,1392,0, 192.168.0.110,157.240.13.14,0,0,0,0,0, 192.168.0.110,216.58.196.74,0,0,0,0,0, 192.168.0.110,216.58.203.206,0,0,0,0,0, 192.168.0.110,52.222.128.201,0,0,0,0,0, 192.168.0.110,172.217.166.42,0,0,0,0,0, 192.168.0.110,74.125.130.188,0,0,0,0,0, 192.168.0.110,1.186.190.209,0,0,0,0,0, 192.168.0.110,162.125.34.137,0,0,0,0,0, 192.168.0.110,172.217.166.66,0,0,0,0,0, 192.168.0.110,255.255.255.255,0,0,0,0,0, 192.168.0.110,54.231.236.30,0,0,0,0,0, 192.168.0.110,13.228.67.66,0,0,0,0,0, 192.168.0.110,0.0.0.0,0,0,0,0,0,0,0,0,0,0,1526097085381,0.0,630.861,0,0,0,0,0,0,0,0,0,0.0,0.0,-1
0.8999999999999999,2,0,2784,0, 192.168.0.110,1.186.191.142,0,0,0,0,0, 192.168.0.110,216.58.196.67,0,0,0,0,0, 192.168.0.110,216.58.196.65,0,0,0,0,0, 192.168.0.110,172.217.166.46,0,0,0,0,0, 192.168.0.110,216.58.199.182,0,0,0,0,0, 192.168.0.110,172.217.166.86,0,0,0,0,0, 192.168.0.110,216.58.196.66,0,0,0,0,0, 192.168.0.110,34.232.224.128,0,0,0,0,0, 192.168.0.110,216.58.196.78,0,0,0,0,0, 192.168.0.110,162.125.18.133,0,0,0,0,0, 192.168.0.110,216.58.196.70,QUIC,1,0,1392,0, 192.168.0.110,216.58.196.77,0,0,0,0,0, 192.168.0.110,216.58.196.68,QUIC,1,0,1392,0, 192.168.0.110,157.240.13.14,0,0,0,0,0, 192.168.0.110,216.58.196.74,0,0,0,0,0, 192.168.0.110,216.58.203.206,0,0,0,0,0, 192.168.0.110,52.222.128.201,0,0,0,0,0, 192.168.0.110,172.217.166.42,0,0,0,0,0, 192.168.0.110,74.125.130.188,0,0,0,0,0, 192.168.0.110,1.186.190.209,0,0,0,0,0, 192.168.0.110,162.125.34.137,0,0,0,0,0, 192.168.0.110,172.217.166.66,0,0,0,0,0, 192.168.0.110,255.255.255.255,0,0,0,0,0, 192.168.0.110,54.231.236.30,0,0,0,0,0, 192.168.0.110,13.228.67.66,0,0,0,0,0, 192.168.0.110,0.0.0.0,0,0,0,0,0,0,0,0,0,0,1526097085381,0.0,630.861,0,0,0,0,0,0,0,0,0,0.0,0.0,-1
